longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink
MLA International Bibliography,mzh,1991011118,Dialect and Education in West Germany,,19890101,"Rosenberg, Peter ; Cheshire, Jenny(ed.) ; Edwards, Viv(ed.) ; Münstermann, Henk(ed.) ; Weltens, Bert(ed.)",Book Article,Book Article,1989,,Dialect and Education: Some European Perspectives,German language (New High) ; dialectology ; education,CHAP,,,,,,,,eng,Multilingual Matters,93,62,32,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=613344c3-b51a-37dd-832f-e98843659967
MLA International Bibliography,mzh,2008930707,"Presenting Television Election Nights in Britain, the United States and Germany: Cross-Cultural Analyses",,20070101,"Lauerbach, Gerda Eva ; Fetzer, Anita(ed. and introd.) ; Lauerbach, Gerda Eva(ed. and introd.)",Book Article,Book Article,2007,,Political Discourse in the Media: Cross-Cultural Perspectives,English language (Modern) ; British English dialect ; stylistics ; pragmatics ; cross-cultural communication ; news reporting ; American English dialect ; German language (New High),CHAP,,978-90-272-5403-0,0922-842X,,,,,eng,John Benjamins Publishing Company,375,315,61,,,10.1075/pbns.160,,,,https://research.ebsco.com/linkprocessor/plink?id=3cf9a56b-6492-3a20-a249-7f5d270e646f
MLA International Bibliography,mzh,2008930700,"Metaphors in Election Night Television Coverage in Britain, the United States and Germany",,20070101,"Scheithauer, Rut ; Fetzer, Anita(ed. and introd.) ; Lauerbach, Gerda Eva(ed. and introd.)",Book Article,Book Article,2007,,Political Discourse in the Media: Cross-Cultural Perspectives,English language (Modern) ; American English dialect ; stylistics ; rhetoric ; metaphor ; political discourse ; British English dialect ; German language (New High),CHAP,,978-90-272-5403-0,0922-842X,,,,,eng,John Benjamins Publishing Company,106,75,32,,,10.1075/pbns.160.06sch,,,,https://research.ebsco.com/linkprocessor/plink?id=0aa86b2a-b47d-3e92-b2fb-7750bb491c94
MLA International Bibliography,mzh,1999079454,'Elefanteneier'-A Tale as Told in the Westfalian Dialect of Nienberge,,19990101,"Seymour, Richard K. ; Carr, Gerald F.(ed.) ; Harbert, Wayne(ed.) ; Zhang, Lihua(ed.)",Book Article,Book Article,1999,,Interdigitations: Essays for Irmengard Rauch,German language (Low) ; dialectology ; Nienberge ; folk literature ; folk narrative ; jokes ; Germany ; 1900-1999 ; linguistic approach,CHAP,,978-0-8204-3802-3,,,,,,eng,Peter Lang Publishing Inc.,378,367,12,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=e480627a-3dd5-3064-bb4c-016db9afdab2
MLA International Bibliography,mzh,2001751474,Dutch-German Contact in and around Bentheim,,20000101,"Heeringa, Wilbert ; Nerbonne, John ; Niebaum, Hermann ; Nieuweboer, Rogier ; Kleiweg, Peter ; Gilbers, Dicky(ed. and introd.) ; Nerbonne, John(ed. and introd.) ; Schaeken, Jos(ed. and introd.)",Book Article,Book Article,2000,,Languages in Contact,Dutch language ; German language (Low) ; dialectology ; Germany ; Bentheim ; dialect convergence,CHAP,,978-90-420-1322-3,0169-0124,,,,,eng,Brill Academic Publishers,156,145,12,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=2dd835aa-96c7-3010-8711-935bbaa6624c
MLA International Bibliography,mzh,2016090020,Nebentonvokalismus in den alemannischen Dialekten Südwestdeutschlands: Phonologisch-morphologische Aspekte,,20140101,"Caro Reina, Javier ; Huck, Dominique(ed. and foreword) ; Erhart, Pascale(collaborator) ; Bogatto, François-Xavier(collaborator)",Book Article,Book Article,2014,,Alemannische Dialektologie: Dialekte im Kontakt,German language (New High) ; Alemannic German dialect ; morphophonology ; dialectology ; Southwestern Germany ; unstressed vowels,CHAP,,978-3-515-10343-5,0341-0838,,,,,ger,Franz Steiner Verlag,114,101,14,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=51f339b3-fe78-3295-a2dc-f643e8af3655
MLA International Bibliography,mzh,2002900501,Vom Wendedeutsch zum Gesamtdeutsch: Phasen sprachlich-kommunikativen Wandels und deren linguistische Reflexion,,20020101,"Reiher, Ruth ; Luukkainen, Matti(ed. and foreword) ; Pyykkö, Riitta(ed. and foreword)",Book Article,Book Article,2002,,Zur Rolle der Sprache im Wandel der Gesellschaft/The Role of Language in Changes of Society,German language (New High) ; lexicology ; East Germany ; West Germany ; dialect convergence (1989-2000),CHAP,,978-951-41-0908-9,1239-6982,,,,,ger,University of Helsinki/Helsingin Yliopisto,26,16,11,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=e45f0e14-268f-3605-ac2b-733146c2d54b
MLA International Bibliography,mzh,2.02016E+11,Regional Idenity in Schalke Football Chants,,20080101,"Schiering, René ; Lavric, Eva ; Pisek, Gerhard ; Skinner, Andrew ; Stadler, Wolfgang",Book Article,Book Article,2008,,The Linguistics of Football,German language (New High) ; stylistics ; Ruhr region ; regional identity ; regional dialect ; folk song ; soccer fans ; folk literature ; folk poetry ; Germany,CHAP,,978-3-8233-6398-9 ; 978-3-8233-7398-8,0939-9399,,,,,eng,Stauffenburg,231,221,11,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=210da5d7-f0aa-30f8-b126-90acc68781b8
MLA International Bibliography,mzh,1998090098,Dialekt und Erzählstil,,19970101,"Bausinger, Hermann ; Ruoff, Arno(ed. and foreword) ; Löffelad, Peter(ed. and foreword)",Book Article,Book Article,1997,,Syntax und Stilistik der Alltagssprache: Beiträge der 12. Arbeitstagung zur alemannischen Dialektologie,German language (New High) ; stylistics ; regional dialect ; storytelling ; folk literature ; folk narrative ; folk tale ; Märchen ; Germany,CHAP,,978-3-484-24018-6,0344-6719,,,,,ger,Max Niemeyer Verlag,26,13,14,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=9eefa8a5-45f4-3e5f-90da-801f870b041a
MLA International Bibliography,mzh,2012901395,Auf dem Weg zur sprachlichen Einheit: Entwicklungen in Ostdeutschland seit der Wiedervereinigung,,20040101,"Ballerstaedt, Kathrin ; Siewert, Klaus(ed. and foreword) ; In der Smitten, Susanne(ed.) ; Ziem, Florian(ed.)",Book Article,Book Article,2004,,Vor dem Karren der Ideologie: DDR-Deutsch und Deutsch in der DDR,German language (New High) ; lexicology ; East Germany ; dialect convergence,CHAP,,978-3-8309-1396-2,,,,,,ger,Waxmann Verlag,329,317,13,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=af043bb9-b49b-3467-9891-4b220e2e824d
MLA International Bibliography,mzh,2002900513,Zeitgeschichtliche Ereignisse und Lexikographie,,20020101,"Ludwig, Klaus-Dieter ; Luukkainen, Matti(ed. and foreword) ; Pyykkö, Riitta(ed. and foreword)",Book Article,Book Article,2002,,Zur Rolle der Sprache im Wandel der Gesellschaft/The Role of Language in Changes of Society,German language (New High) ; lexicology ; lexicography ; neologism ; dialect ; East Germany,CHAP,,978-951-41-0908-9,1239-6982,,,,,ger,University of Helsinki/Helsingin Yliopisto,165,151,15,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=6ccec7d4-6a6e-32b8-b9cf-12ca01675714
MLA International Bibliography,mzh,1987091082,Zinzenzell Kr. Bogen,,19870101,"Hinderling, Robert ; Rowley, Anthony ; Meissner, Joseph",Book Article,Book Article,1987,,"Monographien, XIX",German language (New High) ; Bavarian German dialect ; phonology ; West Germany ; Zinzenzell,CHAP,,,0554-0992,,,,,ger,Max Niemeyer Verlag,365,147,219,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=f2e7ad27-2e97-3cc8-9514-344fa5d427a8
MLA International Bibliography,mzh,1987091081,Diendorf Kr. Nabburg (Oberpfalz),,19870101,"Wickham, Christopher J.",Book Article,Book Article,1987,,"Monographien, XIX",German language (New High) ; Bavarian German dialect ; phonology ; West Germany ; Oberpfalz ; Diendorf,CHAP,,,0554-0992,,,,,ger,Max Niemeyer Verlag,145,5,141,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=02f2b7ec-eb00-39b3-b13d-e1e64fe58482
MLA International Bibliography,mzh,1984088464,Statistical Investigations of Language Death in a North Frisian Community,,19840101,"Larsen, Niels-Erik ; Ureland, P. Sture(ed. & introd.) ; Clarkson, Iain(ed. & introd.)",Book Article,Book Article,1984,,Scandinavian Language Contacts,language ; language interaction ; bilingualism ; West Germany ; Rodenäs ; multilingualism ; language obsolescence ; Frisian language ; German language (Low) ; Southern Jutland Danish dialect ; statistical approach,CHAP,,,,,,,,eng,Cambridge University Press,220,191,30,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=64a9d9e7-db1b-3840-8c2b-88a3eb0e4f15
MLA International Bibliography,mzh,1989036273,Die Welt der alemmannischen Sprichwörter,,19880101,"Röhrich, Lutz ; Quast, Gisela(ed.)",Book Article,Book Article,1988,,Einheit in der Vielfalt,folk literature ; folk speech play ; proverb ; Alemannic German dialect ; Germany,CHAP,,,,,,,,ger,Peter Lang Publishing Inc.,457,434,24,,,10.1007/978-3-663-12428-3_6,,,,https://research.ebsco.com/linkprocessor/plink?id=3f196a56-382a-3e61-b88a-5c99a867425d
MLA International Bibliography,mzh,1988015689,Gesprochene Sprache im Ruhrgebiet,,19850101,"Grosse, Siegfried ; Stötzel, Georg(ed.)",Book Article,Book Article,1985,,"Germanistik: Forschungsstand und Perspektiven, I: Germanistische Sprachwissenschaft, Didaktik der deutschen Sprache und Literatur",German language ; dialectology ; West Germany ; Ruhr region ; spoken language ; standard language ; social dialects,CHAP,,,,,,,,ger,De Gruyter,210,204,7,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=a44b054d-3a3c-39a2-a279-7b76a4453f85
MLA International Bibliography,mzh,2002750037,Dialect Focusing and Language Transfer in Sixteenth Century Germany,,20020101,"Hassall, Meredith",Dissertation Abstract,Dissertation Abstract,2002 Jan,FALSE,"Dissertation Abstracts International, Section A: The Humanities and Social Sciences",Netherlandic-German languages ; dialectology ; Germany ; Frankenthal ; Wesel ; 1500-1599 ; koine ; dissertation abstract,THES,,,0419-4209,,,,,eng,University of Wisconsin–Madison,2406,2406,1,62,7,,,,,https://research.ebsco.com/linkprocessor/plink?id=cd83c696-c4ea-34bd-9edd-162c2cf9be1e
MLA International Bibliography,mzh,1975305642,"The City Dialect of Regensburg, Germany: An Investigation of On-Going Changes in Different Age and Residence Groups.",,19750101,"Keller, Thomas Lawrence",Dissertation Abstract,Dissertation Abstract,1975,FALSE,"Dissertation Abstracts International, Section A: The Humanities and Social Sciences",German language (New High) ; dialectology ; dissertation abstract,THES,,,0419-4209,,,,,eng,University Microfilms International (UMI),2781A,2781A,,36,,,,,,https://research.ebsco.com/linkprocessor/plink?id=baa6594c-ac76-31d9-bb08-8889436b1f3e
MLA International Bibliography,mzh,1990076755,Informing the Public: A Comparison of Television News Discourse in the United States and the Federal Republic of Germany (Volumes I and II),,19900101,"Pufahl, Ingrid",Dissertation Abstract,Dissertation Abstract,1990 Jan.,FALSE,Dissertation Abstracts International,English language (Modern) ; American English dialect ; stylistics ; news reporting ; television and video ; German language (New High) ; dissertation abstract,THES,,,,,,,,eng,ProQuest/University Microfilms,2039A,2039A,,50,7,,,,,https://research.ebsco.com/linkprocessor/plink?id=c040fdf2-2b4c-32b7-92f3-27bd6269840f
MLA International Bibliography,mzh,1992095622,Grammatik mit Diskursanalyse des Rommanes der Sinte (Grammar and Discourse Analysis of Romany of German Gypsies),,19921201,"Holzinger, Daniel",Dissertation Abstract,Dissertation Abstract,1992 Winter,FALSE,Dissertation Abstracts International,Romany language ; Sinte Romany dialect ; morphology ; syntax ; Germany ; discourse analysis ; dissertation abstract,THES,,,,,,,,eng,Universität für Bildungswissenschaften Klagenfurt,,,,53,4,,,,,https://research.ebsco.com/linkprocessor/plink?id=99ce6254-6dc2-3185-b7ba-31445df767b8
MLA International Bibliography,mzh,2016930861,A Sociolinguistic Study of Bitburger Platt German,"Bitburger Platt, spoken in the Eifel region of western Germany, exhibits a merger of the Standard German (d) and (t) sounds, the reflexes of West Germanic th and d, respectively. A chain shift yielded the modern Standard German variants. Biburger Platt, however, did not follow through with the first phase of this shift; rather, the two sounds were merged into [d] in the dialect (Veith, 1999). As an example, the Standard German phrase +du tust= 'you do (cognate to English thou doest)' is realized in Bitburger Platt as [dou depsilonjs]. Bitburg is a town where many (if not most) residents are undergoing or have recently undergone a transition from a home-based, agrarian lifestyle to one requiring a commute to an urban center and more contact with nonlocals. Such a transition has been shown by other studies (Hofmann, 1963, Besch, 1981, Lenz, 2003) to go hand-in-hand with language shift, specifically a shift from the use of base dialects (basilects) to regional colloquial varieties that lie on a continuum between the base dialect and the standard and exhibit features of both. The effects of situational and social factors on one's language use have long been attested. Labov (1963, 1966) mainstreamed the discipline of studying such variation in language, but others before his time showed awareness of it as well (Vietor, 1875, Wegener, 1891). A sociolinguistic study can reveal much about a particular speech community, ranging from qualitative information on the community's attitudes toward their language to quantifiable data that reveal how the individual community members actually speak. This study focuses heavily on the latter, specifically investigating correlations between participants' age, gender, and recording situation and their articulation of the alveolar stop consonants (d) and (t). Participants first took part in recorded interviews with me, and then in a conversation with a close friend or family member, during which I was not present. Their recordings were subsequently searched for all tokens with Standard German (d) and (t) correspondences in initial and medial position. Those tokens in initial position underwent analysis for voice onset time (VOT) and harmonic difference (H1-H2), both proven to be acoustic correlates to fortis/lenis contrasts (Lisker and Abramson, 1964, Jessen, 1996). Medial tokens underwent analysis for the parameter of closure duration, also shown to be a fortis/lenis correlate. Results indicate that participants show an overwhelming preference for merged variants in conversational speech - the indicator of dialecticity. In interview speech, however, the fortis/lenis contrast is maintained by all but the older men, a likely consequence of changing linguistic norms in the community.",20160801,"Pischnotte, Zebulon Aaron",Dissertation Abstract,Dissertation Abstract,2016 Aug,FALSE,ProQuest Dissertations & Theses Global,German language (New High) ; phonetics ; acoustic phonetics ; Bitburg ; fortis/lenis opposition ; alveolar stop consonants ; sociolinguistic approach ; dissertation abstract,THES,,,,,,,,eng,University of Utah,,,,77,2,,,,,https://research.ebsco.com/linkprocessor/plink?id=f98b301c-b7ad-3314-b41e-6d82aefb4840
MLA International Bibliography,mzh,2.02329E+11,Romanized Transcriptions of Cantonese Prior to Robert Morrison's: A Study of the Whampoa Dialect Spoken in the 1820s as Recorded in German Sources,"Fung Ahok, a native of Whampoa, was one of the earliest Chinese ever to visit Germany. During his stay, several German authors described the two varieties of Cantonese spoken by him and his fellow traveler, Fung Asseng, a native of Xiāngshān. Meanwhile, both Fungs themselves also produced abundant manuscripts reflecting their Cantonese phonology, which can be believed to be of great value for exploring Early Cantonese. This paper aims to investigate the various materials left by Fung Ahok and some German scholars on Cantonese transcription and thus reconstruct his personal phonology.摘要冯亚学来自广州东郊的黄埔，是最早造访德国的华人之一。他在德国 期间，不仅曾有若干名德国作者描述过他和他的香山籍旅伴冯亚星所 讲的两种粤方言，二人自己也写下了大量反映粤语音系的注音手稿。 应该认为，这些材料对于探索早期粤语颇具价值。本文旨在研",20230101,"Jiang, Xueqi ; Chen, Chen",Journal Article,Journal Article,2023 Jan,TRUE,Journal of Chinese Linguistics,Cantonese language ; dialectology ; phonology ; writing systems ; romanization ; transcription ; German linguistics,JOUR,,,2411-3484 ; 0091-3723,,,,,eng,"Chinese University of Hong Kong, Journal of Chinese Linguistics (JCL)",233,193,41,51,1,,,,,https://research.ebsco.com/linkprocessor/plink?id=63aa4ac4-6697-3f01-b9ab-19676b2fda63
MLA International Bibliography,mzh,2.02331E+11,"„Andere Länder, andere Sitten“: A Comparative Study of Some German and Indonesian Proverbs",,20230101,"Rikfanto, Aditya",Journal Article,Journal Article,2023,TRUE,Proverbium: Yearbook of International Proverb Scholarship,German language (New High) ; lexicology ; phraseology ; proverb ; semantics ; pragmatics ; culture ; Bahasa Indonesia Malay dialect ; folk literature ; folk speech play ; Germany ; Indonesia,JOUR,,,2806-7568 ; 0743-782X,,,,,eng,Filozofski fakultet Osijek,188,161,28,40,,10.29162/pv.40.1.264,,,,https://research.ebsco.com/linkprocessor/plink?id=39fb1c10-d60f-3644-a82d-55fab6debe1e
MLA International Bibliography,mzh,2014902339,Vertical vs. Horizontal Change in the Traditional Dialects of Southwest Germany: A Quantitative Approach,,20110101,"Auer, Peter ; Baumann, Peter ; Schwarz, Christian",Journal Article,Journal Article,2011,TRUE,Taal en Tongval: Language Variation in the Low Countries,German language (New High) ; phonology ; vowels ; dialectology ; phonological change,JOUR,,,2215-1214 ; 0039-8691,,,,,eng,Amsterdam University Press,41,13,29,63,1,10.5117/TET2011.1.AUER,,,,https://research.ebsco.com/linkprocessor/plink?id=c666620a-42e8-3c29-afc8-20badfad45e3
MLA International Bibliography,mzh,2001932481,"Changes of Dialect, Code-Switching, and New Kinds of Usage: The Divergence of Dialects along the Border between Germany and France in and around the Region of the Oberrhein",,20000101,"Klausmann, Hubert",Journal Article,Journal Article,2000,TRUE,International Journal of the Sociology of Language,French language (Modern) ; phonetics ; orthoepy ; language boundary ; German language (New High) ; dialect convergence,JOUR,,,1613-3668 ; 0165-2516,,,,,eng,De Gruyter Mouton,130,109,22,145,,10.1515/ijsl.2000.145.109,,,,https://research.ebsco.com/linkprocessor/plink?id=35aba09c-9920-327c-ade6-cfe1b2cc7132
MLA International Bibliography,mzh,1998095321,Research in Germany on the Yorkshire Dialects,,19970101,"Toalster, J. P. C.",Journal Article,Journal Article,1997,FALSE,Transactions of the Yorkshire Dialect Society,"English literature ; 1600-1699 ; Meriton, George (1634-1711) ; A York-shire Dialogue, in Its Pure Natural Dialect (1683) ; poetry ; dialect ; Scott, Sir Walter (1771-1832) ; 'A Lyke-Wake Dirge' ; Yorkshire ; English language (Modern) ; stylistics ; dialectology ; 1600-1899 ; German linguistics",JOUR,,,0954-6316,,,,,eng,Yorkshire Dialect Society,62,57,6,19,97,,,,,https://research.ebsco.com/linkprocessor/plink?id=6d452fe2-9887-3ea4-b49c-8e37784f0849
MLA International Bibliography,mzh,2008390860,"Yiddish, <i>Kanak Sprak</i>, Klezmer, and HipHop: Ethnolect, Minority Culture, Multiculturalism, and Stereotype in Germany","Minority and immigrant Germans' embrace of the derogatory term Kanake as a self-ascription and of the low-status ethnolect Kanak Sprak has been compared to US rappers' combative use of 'niggah' and Black English. This essay, however, compares the revaluation of the term Kanake, a non-assimilatory Kanak identity, and the ethnolect Kanak Sprak to some early 20th century German Jews' revaluation and embrace of Eastern European Jewish culture and Yiddish. It demonstrates also how non-minority and non-Jewish Germans have used Yiddish and Kanak Sprak in literature, theater, film, and popular culture to re-inscribe ethnic difference, especially at times when minorities and Jews were becoming indistinguishable from non-minority Germans (emancipation edicts or nationality law reform). Because Kanak Sprak is inseparable from HipHop culture, the second half of the essay examines the many parallels between the importation and naturalization of German HipHop and German Klezmer. Both were imported from the United States in the early 1980s; and following the fall of the Berlin Wall and German re-unification, both have played a role in German Vergangenheitsbewältigung [mastering the past]. While HipHop and Klezmer have become the soundtrack of German anti-racism, anti-Nazism, and multiculturalism; some observers are critical of non-minority and non-Jewish Germans' appropriation or instrumentalization of ethnic music, and have cited instances of antisemitism and racism in German Klezmer and HipHop.",20060901,"Loentz, Elizabeth",Journal Article,Journal Article,2006 Fall,TRUE,Shofar: An Interdisciplinary Journal of Jewish Studies,German language (New High) ; stylistics ; social dialects ; ethnolinguistic minorities ; folk literature ; folk poetry ; folk song ; rap song ; Turkish Germans ; Germany ; ethnic identity ; klezmer music,JOUR,,,1534-5165 ; 0882-8539,,,,,eng,Purdue University Press,62,33,30,25,1,10.1353/sho.2006.0134,,,,https://research.ebsco.com/linkprocessor/plink?id=3222db47-55b5-38fa-af29-cdff1f4f0933
MLA International Bibliography,mzh,1972307373,The Status of Dialect in Germany.,,19720101,"Durrell, Martin",Journal Article,Journal Article,1972,,Journal of the Lancashire Dialect Society,German language (New High) ; dialectology,JOUR,,,0075-7799,,,,,eng,Lancashire Dialect Society,16,4,13,21,,,,,,https://research.ebsco.com/linkprocessor/plink?id=a42df929-0c38-30cf-84d2-7cdd4b4d3edd
MLA International Bibliography,mzh,1957009487,"'The Northwind and the Sun' in the Dialect of the Town of Gera (East Thuringia, Germany)",,19570101,"Dietrich, Gerhard",Journal Article,Journal Article,1957,,Le Maître Phonétique,German language ; dialectology,JOUR,,,1016-832X,,,,,eng,Cambridge University Press,9,8,2,107,,,,,,https://research.ebsco.com/linkprocessor/plink?id=bf92f856-e319-3906-ad5b-1a1c95e9f4f3
